feature,coefficient,impact
num__tenure,-1.1934795212162947,1.1934795212162947
cat__Contract_Two year,-0.7494901698507908,0.7494901698507908
cat__Contract_Month-to-month,0.600182494470644,0.600182494470644
cat__InternetService_DSL,-0.5838844989765255,0.5838844989765255
cat__InternetService_Fiber optic,0.5806619060504321,0.5806619060504321
num__TotalCharges,0.4548712505406642,0.4548712505406642
num__MonthlyCharges,-0.4112557192162065,0.4112557192162065
cat__PaperlessBilling_No,-0.3136552559411906,0.3136552559411906
cat__MultipleLines_No,-0.2677847597810497,0.2677847597810497
cat__DeviceProtection_No internet service,-0.2523650508325515,0.2523650508325515
cat__OnlineSecurity_No internet service,-0.2523650508325515,0.2523650508325515
cat__InternetService_No,-0.2523650508325515,0.2523650508325515
cat__StreamingMovies_No internet service,-0.2523650508325515,0.2523650508325515
cat__StreamingTV_No internet service,-0.2523650508325515,0.2523650508325515
cat__TechSupport_No internet service,-0.2523650508325515,0.2523650508325515
cat__OnlineBackup_No internet service,-0.2523650508325515,0.2523650508325515
cat__Dependents_Yes,-0.2449510440632896,0.2449510440632896
cat__PaymentMethod_Electronic check,0.2215408864080577,0.2215408864080577
cat__PaymentMethod_Credit card (automatic),-0.1991890491025034,0.1991890491025034
cat__StreamingMovies_No,-0.1896752772781457,0.1896752772781457
cat__StreamingMovies_Yes,0.1864526843520525,0.1864526843520525
cat__StreamingTV_No,-0.1843599594358817,0.1843599594358817
cat__OnlineSecurity_Yes,-0.1816726351562423,0.1816726351562423
cat__StreamingTV_Yes,0.1811373665097926,0.1811373665097926
cat__OnlineSecurity_No,0.1784500422301356,0.1784500422301356
cat__PhoneService_Yes,-0.1767182384455175,0.1767182384455175
cat__PaymentMethod_Bank transfer (automatic),-0.1729287641623922,0.1729287641623922
cat__TechSupport_Yes,-0.1553154861534127,0.1553154861534127
cat__TechSupport_No,0.1520928932273083,0.1520928932273083
cat__gender_Female,-0.1404629938887565,0.1404629938887565
